date,region,device_type,product_category,traffic,conversion_rate,orders,avg_order_value,revenue,marketing_spend
2024-01-01,East,desktop,Home,511,0.039,19,65.91,1252.22,1051.67
2024-01-01,East,desktop,Sports,509,0.0306,15,75.77,1136.53,1752.95
2024-01-01,East,mobile,Electronics,732,0.0302,22,125.94,2770.62,1516.35
2024-01-01,East,mobile,Clothing,721,0.0352,25,65.85,1646.33,1080.1
2024-01-01,East,mobile,Home,816,0.0264,21,71.78,1507.37,1887.04
2024-01-01,East,mobile,Sports,795,0.0342,27,80.26,2167.14,1332.8
2024-01-01,East,tablet,Electronics,150,0.0363,5,149.07,745.36,1008.54
2024-01-01,East,tablet,Clothing,147,0.0419,6,87.17,523.02,626.21
2024-01-01,East,tablet,Home,142,0.0365,5,67.86,339.28,507.59
2024-01-01,East,tablet,Sports,142,0.0402,5,88.25,441.26,836.4
2024-01-01,West,desktop,Electronics,565,0.0408,23,120.23,2765.24,1916.78
2024-01-01,West,desktop,Clothing,578,0.0337,19,76.46,1452.71,1367.05
2024-01-01,West,desktop,Home,532,0.0346,18,78.41,1411.41,2389.49
2024-01-01,West,desktop,Sports,558,0.0487,27,75.94,2050.32,1610.41
2024-01-01,West,mobile,Electronics,788,0.0252,19,143.68,2730.01,2483.89
2024-01-01,West,mobile,Clothing,811,0.0321,26,82.4,2142.49,2534.98
2024-01-01,West,mobile,Home,801,0.0279,22,83.56,1838.41,980.51
2024-01-01,West,mobile,Sports,831,0.0324,26,92.63,2408.36,839.49
2024-01-01,West,tablet,Electronics,155,0.0368,5,145.09,725.47,2009.18
2024-01-01,West,tablet,Clothing,169,0.0435,7,68.96,482.73,2229.72
2024-01-01,West,tablet,Home,165,0.0379,6,86.36,518.13,2018.84
2024-01-01,West,tablet,Sports,171,0.0292,4,59.99,239.97,833.26
2024-01-02,North,desktop,Electronics,606,0.0466,28,101.39,2838.9,929.81
2024-01-02,North,desktop,Clothing,607,0.0336,20,71.65,1433.04,1283.36
2024-01-02,North,desktop,Home,622,0.0313,19,77.16,1466.13,577.52
2024-01-02,North,desktop,Sports,602,0.0418,25,83.29,2082.19,1963.78
2024-01-02,North,mobile,Electronics,901,0.0269,24,150.34,3608.25,1158.46
2024-01-02,North,mobile,Clothing,829,0.0291,24,91.61,2198.71,759.94
2024-01-02,North,mobile,Home,853,0.0373,31,79.05,2450.54,1490.3
2024-01-02,North,mobile,Sports,928,0.0241,22,93.44,2055.62,871.6
2024-01-02,North,tablet,Electronics,176,0.0372,6,148.94,893.66,1211.26
2024-01-02,North,tablet,Clothing,167,0.0314,5,73.95,369.74,1150.78
2024-01-02,North,tablet,Home,177,0.0328,5,76.31,381.54,1061.92
2024-01-02,North,tablet,Sports,182,0.037,6,84.1,504.58,744.4
2024-01-02,South,desktop,Electronics,459,0.0353,16,128.06,2049.03,1910.35
2024-01-02,South,desktop,Clothing,505,0.0351,17,96.11,1633.92,1318.43
2024-01-02,South,desktop,Home,546,0.0364,19,68.77,1306.69,606.78
2024-01-02,South,desktop,Sports,488,0.0319,15,71.45,1071.68,1545.11
2024-01-02,South,mobile,Electronics,762,0.0332,25,146.33,3658.33,923.05
2024-01-02,South,mobile,Clothing,714,0.0244,17,62.79,1067.5,1664.62
2024-01-02,South,mobile,Home,733,0.0288,21,85.99,1805.74,1626.31
2024-01-02,South,mobile,Sports,775,0.0298,23,84.31,1939.11,1739.69
2024-01-02,South,tablet,Electronics,146,0.0366,5,132.66,663.29,1925.91
2024-01-02,South,tablet,Clothing,151,0.0286,4,70.53,282.13,993.0
2024-01-02,South,tablet,Home,153,0.0381,5,81.28,406.42,636.81
2024-01-02,South,tablet,Sports,150,0.0245,3,92.7,278.11,1831.56
2024-01-02,East,desktop,Electronics,490,0.0371,18,124.85,2247.35,1427.33
2024-01-02,East,desktop,Clothing,466,0.0361,16,77.04,1232.61,1732.79
2024-01-02,East,desktop,Home,514,0.0278,14,60.93,852.96,1719.2
2024-01-02,East,desktop,Sports,517,0.0248,12,90.7,1088.4,1859.53
2024-01-02,East,mobile,Electronics,702,0.0297,20,129.8,2596.08,584.45
2024-01-02,East,mobile,Clothing,703,0.0387,27,82.71,2233.13,1375.05
2024-01-02,East,mobile,Home,840,0.0327,27,70.99,1916.67,835.39
2024-01-02,East,mobile,Sports,841,0.03,25,84.84,2120.88,1989.45
2024-01-02,East,tablet,Electronics,138,0.0351,4,143.96,575.86,1444.1
2024-01-02,East,tablet,Clothing,153,0.0451,6,93.16,558.97,1851.74
2024-01-02,East,tablet,Home,133,0.0459,6,66.92,401.5,916.07
2024-01-02,East,tablet,Sports,143,0.0402,5,56.9,284.49,616.6
2024-01-02,West,desktop,Electronics,564,0.0398,22,124.62,2741.55,1985.23
2024-01-02,West,desktop,Clothing,522,0.0426,22,89.77,1974.86,1465.57
2024-01-02,West,desktop,Home,596,0.0409,24,70.31,1687.4,2575.19
2024-01-02,West,desktop,Sports,520,0.0367,19,74.14,1408.58,2292.13
2024-01-02,West,mobile,Electronics,866,0.023,19,124.21,2360.01,759.93
2024-01-02,West,mobile,Clothing,871,0.0398,34,78.12,2656.24,2492.29
2024-01-02,West,mobile,Home,867,0.0252,21,73.58,1545.1,2510.4
2024-01-02,West,mobile,Sports,836,0.0343,28,90.41,2531.58,1348.42
2024-01-02,West,tablet,Electronics,154,0.0428,6,137.08,822.49,1664.32
2024-01-02,West,tablet,Clothing,173,0.0441,7,76.66,536.63,1436.79
2024-01-02,West,tablet,Home,155,0.0382,5,88.69,443.43,2022.96
2024-01-02,West,tablet,Sports,158,0.0263,4,89.44,357.77,1503.08
2024-01-03,North,desktop,Electronics,642,0.0425,27,136.33,3681.01,1094.81
2024-01-03,North,desktop,Clothing,609,0.0384,23,82.96,1908.17,887.37
2024-01-03,North,desktop,Home,596,0.0247,14,74.11,1037.52,1450.1
2024-01-03,North,desktop,Sports,578,0.0295,17,79.88,1357.9,1018.5
2024-01-03,North,mobile,Electronics,959,0.0256,24,144.07,3457.75,788.43
2024-01-03,North,mobile,Clothing,797,0.0289,23,69.41,1596.42,633.05
2024-01-03,North,mobile,Home,846,0.0274,23,63.02,1449.49,1255.13
2024-01-03,North,mobile,Sports,923,0.0319,29,87.05,2524.34,622.64
2024-01-03,North,tablet,Electronics,163,0.0381,6,148.64,891.81,776.78
2024-01-03,North,tablet,Clothing,172,0.0516,8,71.89,575.14,1053.37
2024-01-03,North,tablet,Home,179,0.0379,6,78.11,468.68,1267.52
2024-01-03,North,tablet,Sports,180,0.0426,7,50.43,353.03,863.71
2024-01-03,South,desktop,Electronics,484,0.0318,15,115.53,1732.98,679.64
2024-01-03,South,desktop,Clothing,532,0.0443,23,81.54,1875.34,1247.66
2024-01-03,South,desktop,Home,463,0.0426,19,80.39,1527.39,1147.49
2024-01-03,South,desktop,Sports,471,0.042,19,61.9,1176.17,1356.17
2024-01-03,South,mobile,Electronics,736,0.0238,17,145.13,2467.27,652.67
2024-01-03,South,mobile,Clothing,711,0.0309,21,70.87,1488.18,927.64
2024-01-03,South,mobile,Home,714,0.03,21,66.69,1400.5,1115.6
2024-01-03,South,mobile,Sports,739,0.0308,22,77.74,1710.19,886.85
2024-01-03,South,tablet,Electronics,142,0.0355,5,148.52,742.62,1357.42
2024-01-03,South,tablet,Clothing,145,0.0354,5,64.98,324.9,1138.15
2024-01-03,South,tablet,Home,150,0.0363,5,65.96,329.78,932.95
2024-01-03,South,tablet,Sports,151,0.0489,7,58.89,412.23,577.74
2024-01-03,East,desktop,Electronics,489,0.04,19,124.62,2367.7,881.96
2024-01-03,East,desktop,Clothing,512,0.0345,17,99.34,1688.75,1117.76
2024-01-03,East,desktop,Home,490,0.0369,18,68.96,1241.28,1907.51
2024-01-03,East,desktop,Sports,477,0.0374,17,90.8,1543.62,1762.74
2024-01-03,East,mobile,Electronics,708,0.0277,19,127.21,2417.07,746.4
2024-01-03,East,mobile,Clothing,784,0.0224,17,78.61,1336.33,1815.8
2024-01-03,East,mobile,Home,739,0.0211,15,64.92,973.79,1194.02
2024-01-03,East,mobile,Sports,730,0.023,16,75.16,1202.57,1849.36
2024-01-03,East,tablet,Electronics,147,0.0362,5,148.88,744.38,675.35
2024-01-03,East,tablet,Clothing,163,0.0337,5,71.0,354.98,1691.04
2024-01-03,East,tablet,Home,152,0.0359,5,77.48,387.41,727.51
2024-01-03,East,tablet,Sports,146,0.0425,6,79.02,474.12,1815.15
2024-01-03,West,desktop,Electronics,539,0.0337,18,117.38,2112.88,2204.73
2024-01-03,West,desktop,Clothing,520,0.0438,22,84.74,1864.18,1900.24
2024-01-03,West,desktop,Home,564,0.0311,17,62.55,1063.41,1004.12
2024-01-03,West,desktop,Sports,589,0.0305,17,51.75,879.8,2497.2
2024-01-03,West,mobile,Electronics,782,0.0401,31,137.33,4257.11,685.31
2024-01-03,West,mobile,Clothing,872,0.0411,35,80.9,2831.6,2448.87
2024-01-03,West,mobile,Home,848,0.0377,32,88.45,2830.53,1477.05
2024-01-03,West,mobile,Sports,891,0.0405,36,80.24,2888.62,1428.06
2024-01-03,West,tablet,Electronics,149,0.0299,4,105.21,420.85,1697.92
2024-01-03,West,tablet,Clothing,177,0.0455,8,66.82,534.52,1531.82
2024-01-03,West,tablet,Home,158,0.0338,5,72.27,361.36,1621.82
2024-01-03,West,tablet,Sports,163,0.0404,6,56.55,339.31,1882.92
2024-01-04,North,desktop,Electronics,567,0.0479,27,136.07,3673.78,600.61
2024-01-04,North,desktop,Clothing,620,0.0379,23,76.55,1760.66,786.03
2024-01-04,North,desktop,Home,604,0.0337,20,90.04,1800.8,1286.59
2024-01-04,North,desktop,Sports,595,0.0291,17,77.04,1309.63,772.89
2024-01-04,North,mobile,Electronics,885,0.025,22,166.54,3663.9,538.08
2024-01-04,North,mobile,Clothing,853,0.0323,27,75.3,2033.1,832.96
2024-01-04,North,mobile,Home,865,0.0275,23,79.89,1837.56,1479.12
2024-01-04,North,mobile,Sports,867,0.0332,28,65.6,1836.68,1783.54
2024-01-04,North,tablet,Electronics,188,0.0296,5,146.09,730.43,939.72
2024-01-04,North,tablet,Clothing,191,0.0293,5,92.65,463.23,1839.01
2024-01-04,North,tablet,Home,188,0.0315,5,60.92,304.58,1385.44
2024-01-04,North,tablet,Sports,174,0.0412,7,53.3,373.11,1154.19
2024-01-04,South,desktop,Electronics,486,0.0323,15,142.18,2132.77,1802.7
2024-01-04,South,desktop,Clothing,499,0.0367,18,88.46,1592.29,533.7
2024-01-04,South,desktop,Home,484,0.0283,13,82.43,1071.62,709.03
2024-01-04,South,desktop,Sports,502,0.0269,13,80.52,1046.74,1331.27
2024-01-04,South,mobile,Electronics,765,0.0308,23,152.69,3511.83,1400.78
2024-01-04,South,mobile,Clothing,766,0.032,24,83.07,1993.58,1074.71
2024-01-04,South,mobile,Home,751,0.032,23,67.74,1558.08,624.2
2024-01-04,South,mobile,Sports,760,0.0233,17,67.02,1139.27,1033.51
2024-01-04,South,tablet,Electronics,154,0.0303,4,182.38,729.53,1495.51
2024-01-04,South,tablet,Clothing,163,0.0418,6,59.81,358.85,577.14
2024-01-04,South,tablet,Home,150,0.0407,6,67.97,407.81,659.9
2024-01-04,South,tablet,Sports,138,0.0449,6,74.53,447.16,1152.24
2024-01-04,East,desktop,Electronics,483,0.0382,18,152.51,2745.11,908.22
2024-01-04,East,desktop,Clothing,506,0.0312,15,72.74,1091.06,1312.85
2024-01-04,East,desktop,Home,529,0.0378,19,85.81,1630.35,1538.41
2024-01-04,East,desktop,Sports,526,0.0274,14,74.42,1041.89,1981.5
2024-01-04,East,mobile,Electronics,820,0.0316,25,138.74,3468.46,770.86
2024-01-04,East,mobile,Clothing,756,0.0348,26,72.87,1894.55,1956.59
2024-01-04,East,mobile,Home,820,0.0299,24,75.3,1807.14,978.65
2024-01-04,East,mobile,Sports,786,0.0238,18,80.01,1440.19,680.85
2024-01-04,East,tablet,Electronics,138,0.0413,5,118.9,594.49,598.03
2024-01-04,East,tablet,Clothing,146,0.0349,5,85.44,427.18,1438.84
2024-01-04,East,tablet,Home,159,0.0354,5,85.65,428.27,1908.6
2024-01-04,East,tablet,Sports,147,0.0325,4,50.15,200.62,1441.26
2024-01-04,West,desktop,Electronics,570,0.0429,24,125.59,3014.12,1115.62
2024-01-04,West,desktop,Clothing,514,0.033,16,64.49,1031.85,1105.54
2024-01-04,West,desktop,Home,488,0.0348,16,77.34,1237.47,1399.44
2024-01-04,West,desktop,Sports,563,0.0342,19,66.74,1268.14,2364.28
2024-01-04,West,mobile,Electronics,904,0.025,22,141.88,3121.43,2582.78
2024-01-04,West,mobile,Clothing,841,0.0254,21,75.74,1590.53,994.23
2024-01-04,West,mobile,Home,792,0.027,21,86.89,1824.69,762.79
2024-01-04,West,mobile,Sports,785,0.0331,26,85.49,2222.62,950.1
2024-01-04,West,tablet,Electronics,172,0.036,6,107.72,646.3,1806.23
2024-01-04,West,tablet,Clothing,166,0.0365,6,80.84,485.03,902.55
2024-01-04,West,tablet,Home,174,0.0383,6,95.1,570.61,819.62
2024-01-04,West,tablet,Sports,163,0.0394,6,65.49,392.96,1616.96
2024-01-05,North,desktop,Electronics,554,0.0324,17,139.03,2363.48,1776.81
2024-01-05,North,desktop,Clothing,600,0.0451,27,78.43,2117.65,1021.71
2024-01-05,North,desktop,Home,614,0.0379,23,71.41,1642.36,1696.14
2024-01-05,North,desktop,Sports,612,0.037,22,82.15,1807.3,1755.52
2024-01-05,North,mobile,Electronics,923,0.0356,32,146.68,4693.66,737.91
2024-01-05,North,mobile,Clothing,955,0.031,29,66.66,1933.27,1615.26
2024-01-05,North,mobile,Home,855,0.0299,25,87.78,2194.61,509.58
2024-01-05,North,mobile,Sports,874,0.0299,26,75.9,1973.39,889.71
2024-01-05,North,tablet,Electronics,183,0.0335,6,138.94,833.67,1641.54
2024-01-05,North,tablet,Clothing,181,0.0451,8,60.59,484.68,1898.04
2024-01-05,North,tablet,Home,184,0.0404,7,64.73,453.14,601.03
2024-01-05,North,tablet,Sports,181,0.0326,5,76.28,381.39,1807.31
2024-01-05,South,desktop,Electronics,517,0.0428,22,133.82,2943.96,1524.94
2024-01-05,South,desktop,Clothing,496,0.0317,15,73.22,1098.34,1692.21
2024-01-05,South,desktop,Home,513,0.0362,18,69.36,1248.47,1481.77
2024-01-05,South,desktop,Sports,485,0.0339,16,63.53,1016.49,1915.42
2024-01-05,South,mobile,Electronics,742,0.0233,17,122.55,2083.28,1975.97
2024-01-05,South,mobile,Clothing,741,0.0294,21,68.31,1434.48,546.7
2024-01-05,South,mobile,Home,765,0.0294,22,86.17,1895.81,1952.29
2024-01-05,South,mobile,Sports,715,0.0328,23,82.23,1891.18,1767.17
2024-01-05,South,tablet,Electronics,155,0.036,5,147.76,738.81,1694.81
2024-01-05,South,tablet,Clothing,149,0.0406,6,67.43,404.56,1145.46
2024-01-05,South,tablet,Home,143,0.0356,5,68.19,340.95,903.49
2024-01-05,South,tablet,Sports,156,0.0336,5,74.75,373.73,608.67
2024-01-05,East,desktop,Electronics,493,0.0271,13,148.69,1932.94,1542.47
2024-01-05,East,desktop,Clothing,528,0.0384,20,69.29,1385.8,657.4
2024-01-05,East,desktop,Home,473,0.0425,20,83.77,1675.47,1339.47
2024-01-05,East,desktop,Sports,501,0.0337,16,74.14,1186.22,617.87
2024-01-05,East,mobile,Electronics,739,0.0374,27,146.54,3956.45,1700.88
2024-01-05,East,mobile,Clothing,718,0.034,24,67.01,1608.35,1559.71
2024-01-05,East,mobile,Home,676,0.0327,22,78.93,1736.57,1571.13
2024-01-05,East,mobile,Sports,781,0.0302,23,84.5,1943.53,1725.95
2024-01-05,East,tablet,Electronics,149,0.0437,6,138.56,831.37,622.44
2024-01-05,East,tablet,Clothing,136,0.0328,4,69.71,278.83,1684.55
2024-01-05,East,tablet,Home,153,0.0436,6,79.36,476.18,842.68
2024-01-05,East,tablet,Sports,153,0.0325,4,77.12,308.46,545.98
2024-01-05,West,desktop,Electronics,531,0.037,19,146.65,2786.34,2098.28
2024-01-05,West,desktop,Clothing,544,0.0299,16,95.02,1520.28,2064.25
2024-01-05,West,desktop,Home,548,0.0341,18,83.84,1509.06,1189.81
2024-01-05,West,desktop,Sports,556,0.0377,20,62.46,1249.24,1881.54
2024-01-05,West,mobile,Electronics,851,0.0318,27,139.69,3771.69,1000.38
2024-01-05,West,mobile,Clothing,787,0.025,19,74.5,1415.42,2347.96
2024-01-05,West,mobile,Home,818,0.0346,28,57.6,1612.88,968.87
2024-01-05,West,mobile,Sports,813,0.0332,26,62.54,1626.1,1284.12
2024-01-05,West,tablet,Electronics,171,0.0348,5,143.59,717.93,1110.3
2024-01-05,West,tablet,Clothing,151,0.027,4,77.54,310.17,2266.32
2024-01-05,West,tablet,Home,163,0.0425,6,83.5,501.01,975.73
2024-01-05,West,tablet,Sports,156,0.0392,6,87.23,523.35,1575.53
2024-01-06,North,desktop,Electronics,725,0.0402,29,139.3,4039.65,808.76
2024-01-06,North,desktop,Clothing,645,0.0388,25,68.12,1703.11,1904.91
2024-01-06,North,desktop,Home,608,0.0387,23,74.19,1706.44,974.23
2024-01-06,North,desktop,Sports,690,0.0357,24,79.53,1908.61,1801.88
2024-01-06,North,mobile,Electronics,1028,0.0386,39,132.49,5167.01,709.48
2024-01-06,North,mobile,Clothing,1063,0.034,36,68.49,2465.74,1165.63
2024-01-06,North,mobile,Home,1095,0.0334,36,79.96,2878.45,1916.92
2024-01-06,North,mobile,Sports,1059,0.0338,35,78.08,2732.67,1355.91
2024-01-06,North,tablet,Electronics,211,0.0382,8,114.43,915.41,1090.8
2024-01-06,North,tablet,Clothing,211,0.044,9,72.48,652.29,1673.58
2024-01-06,North,tablet,Home,208,0.0338,7,84.64,592.49,990.55
2024-01-06,North,tablet,Sports,211,0.0386,8,81.35,650.83,1153.37
2024-01-06,South,desktop,Electronics,601,0.0341,20,135.28,2705.61,986.88
2024-01-06,South,desktop,Clothing,564,0.0336,18,90.53,1629.46,1173.04
2024-01-06,South,desktop,Home,554,0.0432,23,85.1,1957.26,1429.24
2024-01-06,South,desktop,Sports,572,0.0353,20,86.26,1725.22,1218.77
2024-01-06,South,mobile,Electronics,848,0.0341,28,178.92,5009.64,1411.86
2024-01-06,South,mobile,Clothing,893,0.0315,28,78.92,2209.78,1890.55
2024-01-06,South,mobile,Home,845,0.0226,19,74.02,1406.32,927.31
2024-01-06,South,mobile,Sports,840,0.0216,18,78.97,1421.43,1415.5
2024-01-06,South,tablet,Electronics,177,0.0301,5,130.96,654.78,771.72
2024-01-06,South,tablet,Clothing,176,0.0487,8,77.22,617.78,660.32
2024-01-06,South,tablet,Home,173,0.0349,6,80.52,483.15,1708.99
2024-01-06,South,tablet,Sports,173,0.0374,6,76.39,458.35,1402.42
2024-01-06,East,desktop,Electronics,601,0.0315,18,123.07,2215.22,1416.47
2024-01-06,East,desktop,Clothing,568,0.037,21,82.51,1732.79,855.31
2024-01-06,East,desktop,Home,598,0.0335,20,87.48,1749.55,1501.32
2024-01-06,East,desktop,Sports,534,0.0461,24,62.62,1502.92,752.02
2024-01-06,East,mobile,Electronics,890,0.029,25,132.66,3316.58,535.46
2024-01-06,East,mobile,Clothing,878,0.0255,22,77.68,1708.91,1086.36
2024-01-06,East,mobile,Home,872,0.0263,22,91.39,2010.61,1142.3
2024-01-06,East,mobile,Sports,888,0.031,27,69.66,1880.78,1367.58
2024-01-06,East,tablet,Electronics,167,0.0321,5,116.73,583.67,839.98
2024-01-06,East,tablet,Clothing,169,0.0343,5,75.33,376.67,1700.53
2024-01-06,East,tablet,Home,165,0.0367,6,83.34,500.01,1299.44
2024-01-06,East,tablet,Sports,168,0.0385,6,94.47,566.79,1595.98
2024-01-06,West,desktop,Electronics,629,0.0378,23,136.37,3136.47,991.84
2024-01-06,West,desktop,Clothing,648,0.0335,21,75.81,1592.07,1528.22
2024-01-06,West,desktop,Home,655,0.0405,26,81.09,2108.38,2458.0
2024-01-06,West,desktop,Sports,609,0.0354,21,82.8,1738.82,2291.96
2024-01-06,West,mobile,Electronics,950,0.0306,29,129.44,3753.64,899.04
2024-01-06,West,mobile,Clothing,994,0.0277,27,66.1,1784.77,1352.27
2024-01-06,West,mobile,Home,878,0.0219,19,80.08,1521.52,1424.11
2024-01-06,West,mobile,Sports,943,0.0333,31,75.31,2334.69,1619.08
2024-01-06,West,tablet,Electronics,177,0.0396,7,129.78,908.43,2342.71
2024-01-06,West,tablet,Clothing,198,0.0357,7,72.64,508.46,1435.81
2024-01-06,West,tablet,Home,180,0.0351,6,74.91,449.45,1899.9
2024-01-06,West,tablet,Sports,198,0.0473,9,72.0,647.99,2141.38
2024-01-07,North,desktop,Electronics,656,0.0297,19,129.51,2460.61,1051.3
2024-01-07,North,desktop,Clothing,632,0.0413,26,75.54,1964.04,1148.75
2024-01-07,North,desktop,Home,672,0.0303,20,73.56,1471.18,1461.24
2024-01-07,North,desktop,Sports,662,0.0302,19,79.17,1504.27,592.02
2024-01-07,North,mobile,Electronics,1076,0.0304,32,128.93,4125.84,1975.52
2024-01-07,North,mobile,Clothing,997,0.031,30,67.93,2037.97,651.57
2024-01-07,North,mobile,Home,1061,0.0304,32,75.03,2400.97,1720.96
2024-01-07,North,mobile,Sports,1049,0.0319,33,97.89,3230.27,1139.13
2024-01-07,North,tablet,Electronics,194,0.0282,5,130.95,654.77,1051.64
2024-01-07,North,tablet,Clothing,204,0.0433,8,82.62,660.98,516.55
2024-01-07,North,tablet,Home,204,0.0323,6,78.92,473.51,1302.97
2024-01-07,North,tablet,Sports,198,0.03,5,74.69,373.45,1321.94
2024-01-07,South,desktop,Electronics,571,0.0349,19,118.2,2245.82,725.07
2024-01-07,South,desktop,Clothing,561,0.0258,14,70.55,987.71,1091.71
2024-01-07,South,desktop,Home,571,0.0317,18,85.4,1537.18,1532.2
2024-01-07,South,desktop,Sports,570,0.0346,19,84.21,1600.06,1455.8
2024-01-07,South,mobile,Electronics,879,0.0353,31,163.11,5056.32,599.98
2024-01-07,South,mobile,Clothing,864,0.0331,28,92.22,2582.2,1520.34
2024-01-07,South,mobile,Home,764,0.0282,21,76.85,1613.78,606.89
2024-01-07,South,mobile,Sports,890,0.0256,22,61.72,1357.86,1661.98
2024-01-07,South,tablet,Electronics,176,0.0409,7,147.94,1035.59,897.57
2024-01-07,South,tablet,Clothing,179,0.0316,5,69.98,349.88,682.08
2024-01-07,South,tablet,Home,174,0.0373,6,96.65,579.9,562.93
2024-01-07,South,tablet,Sports,174,0.0387,6,80.93,485.61,1484.72
2024-01-07,East,desktop,Electronics,541,0.0298,16,99.61,1593.69,1159.11
2024-01-07,East,desktop,Clothing,583,0.0358,20,71.69,1433.71,796.21
2024-01-07,East,desktop,Home,611,0.0393,24,69.17,1660.06,1792.05
2024-01-07,East,desktop,Sports,555,0.0411,22,73.6,1619.19,1592.74
2024-01-07,East,mobile,Electronics,895,0.0305,27,111.66,3014.74,1977.0
2024-01-07,East,mobile,Clothing,938,0.0323,30,74.14,2224.23,1588.97
2024-01-07,East,mobile,Home,902,0.035,31,75.21,2331.59,1599.2
2024-01-07,East,mobile,Sports,867,0.0217,18,75.78,1364.12,1347.53
2024-01-07,East,tablet,Electronics,176,0.0414,7,147.12,1029.82,740.11
2024-01-07,East,tablet,Clothing,171,0.0431,7,65.73,460.13,1987.71
2024-01-07,East,tablet,Home,160,0.0321,5,80.89,404.43,1332.63
2024-01-07,East,tablet,Sports,178,0.0324,5,63.9,319.49,1675.69
2024-01-07,West,desktop,Electronics,636,0.0311,19,146.67,2786.71,2518.24
2024-01-07,West,desktop,Clothing,621,0.036,22,66.8,1469.52,2359.47
2024-01-07,West,desktop,Home,628,0.0361,22,84.33,1855.17,1413.48
2024-01-07,West,desktop,Sports,624,0.0408,25,69.27,1731.75,831.33
2024-01-07,West,mobile,Electronics,960,0.0274,26,138.32,3596.37,1780.97
2024-01-07,West,mobile,Clothing,956,0.0403,38,84.56,3213.45,2219.73
2024-01-07,West,mobile,Home,918,0.0263,24,74.97,1799.19,764.17
2024-01-07,West,mobile,Sports,927,0.0338,31,81.82,2536.43,1658.67
2024-01-07,West,tablet,Electronics,188,0.0314,5,101.4,507.01,822.77
2024-01-07,West,tablet,Clothing,182,0.0395,7,80.77,565.37,1471.43
2024-01-07,West,tablet,Home,193,0.0339,6,65.41,392.43,2287.61
2024-01-07,West,tablet,Sports,186,0.0287,5,78.49,392.43,1356.36
2024-01-08,North,desktop,Electronics,586,0.0357,20,103.17,2063.36,948.09
2024-01-08,North,desktop,Clothing,655,0.0442,28,73.05,2045.42,1762.9
2024-01-08,North,desktop,Home,572,0.0292,16,46.28,740.44,700.22
2024-01-08,North,desktop,Sports,554,0.0206,11,73.39,807.3,1594.26
2024-01-08,North,mobile,Electronics,932,0.0255,23,140.43,3229.94,1627.06
2024-01-08,North,mobile,Clothing,918,0.0282,25,66.08,1651.89,870.47
2024-01-08,North,mobile,Home,963,0.0336,32,66.97,2142.98,1174.61
2024-01-08,North,mobile,Sports,934,0.0275,25,74.86,1871.5,593.98
2024-01-08,North,tablet,Electronics,192,0.0229,4,150.91,603.65,1021.01
2024-01-08,North,tablet,Clothing,192,0.0399,7,75.87,531.11,1340.25
2024-01-08,North,tablet,Home,195,0.0272,5,69.71,348.55,1596.23
2024-01-08,North,tablet,Sports,183,0.0283,5,99.15,495.74,1958.01
2024-01-08,South,desktop,Electronics,507,0.0313,15,120.42,1806.23,1775.92
2024-01-08,South,desktop,Clothing,504,0.0369,18,76.52,1377.42,1561.75
2024-01-08,South,desktop,Home,503,0.0296,14,45.79,641.01,748.66
2024-01-08,South,desktop,Sports,511,0.0438,22,64.66,1422.44,1318.15
